 Years,Year,Investment/year,Interest Earned,Fund,Inflation Adjusted Fund
1,2024,18000.00,1440.00,19440.00,18851.82
2,2025,18500.00,3035.20,40975.20,38533.22
3,2026,18500.00,4758.02,64233.22,58577.52
4,2027,18500.00,6618.66,89351.87,79019.09
5,2028,18500.00,8628.15,116480.02,99893.43
6,2029,18500.00,10798.40,145778.42,121237.18
7,2030,19000.00,13182.27,177960.70,143523.75
8,2031,19000.00,15756.86,212717.55,166364.28
9,2032,19000.00,18537.40,250254.96,189800.15
10,2033,19000.00,21540.40,290795.36,213874.21
11,2034,19000.00,24783.63,334578.98,238630.92
12,2035,19500.00,28326.32,382405.30,264489.88
13,2036,19500.00,32152.42,434057.73,291131.86
14,2037,19500.00,36284.62,489842.35,318607.26
15,2038,19500.00,40747.39,550089.73,346968.44
16,2039,19500.00,45567.18,615156.91,376269.87
17,2040,20000.00,50812.55,685969.47,406888.50
18,2041,20000.00,56477.56,762447.02,438568.46
19,2042,20000.00,62595.76,845042.78,471371.71
20,2043,20000.00,69203.42,934246.21,505362.78
21,2044,20000.00,76339.70,1030585.90,540608.92
